method	definition	setting	stratum	folds	pool	MR_mean	MR_sd	MRR_mean	MRR_sd	H@1_mean	H@1_sd	H@3_mean	H@3_sd	H@10_mean	H@10_sd	H@100_mean	H@100_sd	AUC_mean	AUC_sd
ULTRA-pfs-zeroshot_owl2vecstar_gda	train_csv	calibrated	zero overlap	10	4399	1024.857839	58.595499	0.054720	0.003532	0.021821	0.007257	0.050149	0.005859	0.117816	0.014985	0.357240	0.019468	0.767199	0.013323
ULTRA-pfs-zeroshot_owl2vecstar_gda	train_csv	calibrated	some overlap	10	4399	474.768276	62.451501	0.067559	0.008787	0.020816	0.006434	0.061325	0.011964	0.158094	0.023317	0.527203	0.031942	0.892276	0.014200
ULTRA-pfs-zeroshot_owl2vecstar_gda	train_csv	calibrated	all	10	4399	782.241750	47.173944	0.060335	0.004578	0.021349	0.004701	0.055020	0.006871	0.135437	0.011955	0.432339	0.016412	0.822364	0.010726
ULTRA-pfs-zeroshot_owl2vecstar_gda	train_csv	raw	zero overlap	10	4399	3343.776744	61.092899	0.000982	0.000428	0.000000	0.000000	0.000260	0.000821	0.000526	0.001110	0.014496	0.009111	0.239933	0.013891
ULTRA-pfs-zeroshot_owl2vecstar_gda	train_csv	raw	some overlap	10	4399	568.697733	64.468511	0.128078	0.012404	0.070631	0.011618	0.133354	0.013809	0.241860	0.032755	0.533847	0.038421	0.870919	0.014659
ULTRA-pfs-zeroshot_owl2vecstar_gda	train_csv	raw	all	10	4399	2119.292461	78.445755	0.057047	0.005649	0.031127	0.004888	0.058965	0.006170	0.107103	0.015807	0.243754	0.023057	0.518351	0.017837
Resnik-BMA	train_csv	calibrated	zero overlap	10	4399	1128.354467	94.481325	0.042179	0.010757	0.017042	0.008075	0.036312	0.015243	0.087039	0.017132	0.298912	0.039670	0.743667	0.021483
Resnik-BMA	train_csv	calibrated	some overlap	10	4399	876.684016	69.176514	0.043893	0.009570	0.015128	0.007635	0.040879	0.016806	0.096543	0.017836	0.347842	0.041938	0.800890	0.015729
Resnik-BMA	train_csv	calibrated	all	10	4399	1017.755596	67.268585	0.042878	0.008501	0.016159	0.006258	0.038313	0.012876	0.091121	0.013429	0.320095	0.024812	0.768814	0.015295
Resnik-BMA	train_csv	raw	zero overlap	10	4399	1472.953790	117.799464	0.041638	0.009496	0.015640	0.007164	0.042122	0.011764	0.092268	0.018486	0.270652	0.034585	0.665313	0.026785
Resnik-BMA	train_csv	raw	some overlap	10	4399	931.945250	62.884325	0.058911	0.010090	0.021891	0.009159	0.059453	0.014297	0.126333	0.026947	0.376045	0.031322	0.788325	0.014298
Resnik-BMA	train_csv	raw	all	10	4399	1234.738021	83.916912	0.049156	0.005500	0.018336	0.005257	0.049618	0.006291	0.107043	0.012146	0.316885	0.021573	0.719477	0.019081
Resnik-BMM	train_csv	calibrated	zero overlap	10	4399	1205.609703	86.044188	0.029528	0.007043	0.010833	0.005194	0.024589	0.008732	0.061060	0.012987	0.229578	0.032097	0.726101	0.019564
Resnik-BMM	train_csv	calibrated	some overlap	10	4399	953.812633	85.618659	0.037663	0.008550	0.013371	0.007993	0.034053	0.011238	0.078558	0.021664	0.281842	0.042613	0.783353	0.019468
Resnik-BMM	train_csv	calibrated	all	10	4399	1095.588667	57.247977	0.033110	0.005704	0.011992	0.004213	0.028748	0.008101	0.068689	0.008581	0.252343	0.018640	0.751117	0.013017
Resnik-BMM	train_csv	raw	zero overlap	10	4399	1522.258912	122.685874	0.023295	0.005652	0.005999	0.004291	0.020240	0.006609	0.053038	0.011693	0.198188	0.028504	0.654102	0.027896
Resnik-BMM	train_csv	raw	some overlap	10	4399	954.672026	70.560372	0.048641	0.013715	0.016697	0.010883	0.046110	0.018815	0.106047	0.022977	0.318391	0.023915	0.783158	0.016044
Resnik-BMM	train_csv	raw	all	10	4399	1272.557772	83.185776	0.034416	0.004647	0.010681	0.003603	0.031590	0.007480	0.076279	0.010090	0.251024	0.014727	0.710878	0.018914
Lin-BMA	train_csv	calibrated	zero overlap	10	4399	1128.983380	104.992736	0.038650	0.010845	0.014316	0.007411	0.033606	0.015063	0.078731	0.018569	0.288386	0.039477	0.743524	0.023873
Lin-BMA	train_csv	calibrated	some overlap	10	4399	873.130315	55.812257	0.039138	0.005504	0.012335	0.003658	0.033415	0.008501	0.083521	0.013943	0.342756	0.040313	0.801698	0.012690
Lin-BMA	train_csv	calibrated	all	10	4399	1016.449540	69.903838	0.038826	0.007152	0.013448	0.005124	0.033495	0.009016	0.080729	0.012299	0.312051	0.025665	0.769111	0.015894
Lin-BMA	train_csv	raw	zero overlap	10	4399	1443.720506	115.442172	0.038741	0.006983	0.014239	0.003454	0.035573	0.011040	0.085931	0.015838	0.276566	0.034140	0.671960	0.026249
Lin-BMA	train_csv	raw	some overlap	10	4399	930.335346	61.968209	0.056054	0.009976	0.019713	0.008998	0.056710	0.013566	0.124826	0.025166	0.375754	0.024318	0.788691	0.014090
Lin-BMA	train_csv	raw	all	10	4399	1217.592336	82.418709	0.046286	0.006056	0.016617	0.004905	0.044758	0.009191	0.102849	0.012099	0.320060	0.019042	0.723376	0.018740
Lin-BMM	train_csv	calibrated	zero overlap	10	4399	1206.984160	99.092504	0.027191	0.006238	0.008386	0.003944	0.022358	0.007022	0.058898	0.015770	0.218494	0.033683	0.725788	0.022531
Lin-BMM	train_csv	calibrated	some overlap	10	4399	951.131481	77.281898	0.035260	0.008653	0.012329	0.007061	0.029241	0.014235	0.074631	0.016314	0.283987	0.035488	0.783963	0.017572
Lin-BMM	train_csv	calibrated	all	10	4399	1095.117647	64.927496	0.030746	0.004078	0.010159	0.002435	0.025391	0.007300	0.065785	0.009993	0.247074	0.016672	0.751224	0.014763
